alphabet_size,depth,complexity,rule_set,target,enum_status,enum_time,enum_rule_set,enum_grammars_checked,enum_pruned_status,enum_pruned_time,enum_pruned_rule_set,enum_pruned_grammars_checked
3,6,4,[0 -> [2 1 1]; 1 -> [3 3 1]; 2 -> [2]; 3 -> [1];],[2 1 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1 1 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1 1 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1 1 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1 1 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1 1 1 3 3 1 1 1 3 3 1 3 3 1 3 3 1 1 1 3 3 1],SAT,0.835588,[0 -> [2 1 1]; 1 -> [3 3 1]; 2 -> [2]; 3 -> [1];],1148085,SAT,0.04,[0 -> [2 1 1]; 1 -> [3 3 1]; 2 -> [2]; 3 -> [1];],6496
3,6,4,[0 -> [3]; 1 -> [2 3 1]; 2 -> [1 3]; 3 -> [3 2];],[3 2 1 3 2 3 1 3 2 1 3 3 2 2 3 1 3 2 1 3 2 3 1 3 2 3 2 1 3 1 3 3 2 2 3 1 3 2 1 3 2 3 1 3 2 1 3 3 2 2 3 1 3 2 1 3 3 2 1 3 2 3 1 3 2 2 3 1 3 2 3 2 1 3 1 3 3 2 2 3 1 3 2 1 3 2 3 1 3 2 1 3 3 2 2 3 1 3 2 1 3],SAT,1.09504,[0 -> [3]; 1 -> [2 3 1]; 2 -> [1 3]; 3 -> [3 2];],1509705,SAT,0.101,[0 -> [3]; 1 -> [2 3 1]; 2 -> [1 3]; 3 -> [3 2];],18695
3,6,4,[0 -> [2]; 1 -> [2 3]; 2 -> [3 1 2 1]; 3 -> [2];],[2 2 3 3 1 2 1 2 3 2 2 3 3 1 2 1 2 3 3 1 2 1 3 1 2 1 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2 2 3 3 1 2 1 2 3 2 2 3 3 1 2 1 2 3 3 1 2 1 3 1 2 1 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 3 1 2 1 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2 3 1 2 1 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2 3 1 2 1 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2 2 2 3 3 1 2 1 2 3 2 2 3 3 1 2 1 2 3 2 2 3 3 1 2 1 2 3 3 1 2 1 3 1 2 1 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 3 1 2 1 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2 2 2 3 3 1 2 1 2 3 2 2 3 3 1 2 1 2 3 2 2 3 3 1 2 1 2 3 3 1 2 1 3 1 2 1 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 3 1 2 1 3 1 2 1 2 2 2 3 3 1 2 1 2 3 3 1 2 1 2],SAT,0.744081,[0 -> [2]; 1 -> [2 3]; 2 -> [3 1 2 1]; 3 -> [2];],1053933,SAT,0.111999,[0 -> [2]; 1 -> [2 3]; 2 -> [3 1 2 1]; 3 -> [2];],22066
3,6,4,[0 -> [3 3]; 1 -> [2]; 2 -> [2 3 1 1]; 3 -> [1];],[2 3 1 1 1 2 2 2 2 3 1 1 2 3 1 1 2 3 1 1 2 3 1 1 1 2 2 2 3 1 1 1 2 2 2 3 1 1 1 2 2 2 2 3 1 1 2 3 1 1 2 3 1 1 2 3 1 1 1 2 2 2 3 1 1 1 2 2],SAT,1.12093,[0 -> [3 3]; 1 -> [2]; 2 -> [2 3 1 1]; 3 -> [1];],1525953,SAT,0.125233,[0 -> [3 3]; 1 -> [2]; 2 -> [2 3 1 1]; 3 -> [1];],21600
3,6,4,[0 -> [3 2]; 1 -> [3 1]; 2 -> [1 1]; 3 -> [1 2];],[3 1 1 1 1 2 3 1 1 2 3 1 1 2 3 1 1 2 3 1 3 1 3 1 3 1 1 1 1 2 3 1 1 2 3 1 3 1 3 1 3 1 1 1 1 2 3 1 1 2 3 1 3 1 3 1 3 1 1 1 1 2 3 1 3 1 1 1 1 2 3 1 1 2 3 1 1 2 3 1 1 2 3 1 3 1 3 1 3 1 1 1 1 2 3 1 3 1 1 1 1 2 3 1 1 2 3 1 1 2 3 1 1 2 3 1 3 1 3 1 3 1 1 1 1 2 3 1],SAT,1.21104,[0 -> [3 2]; 1 -> [3 1]; 2 -> [1 1]; 3 -> [1 2];],1647921,SAT,0.110035,[0 -> [3 2]; 1 -> [3 1]; 2 -> [1 1]; 3 -> [1 2];],20606
3,6,4,[0 -> [1]; 1 -> [2 3 1]; 2 -> [2]; 3 -> [3 1 3];],[2 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1 3 1 3 2 3 1 3 2 3 1],SAT,0.308002,[0 -> [1]; 1 -> [2 3 1]; 2 -> [2]; 3 -> [3 1 3];],452181,SAT,0.043,[0 -> [1]; 1 -> [2 3 1]; 2 -> [2]; 3 -> [3 1 3];],9520
3,6,4,[0 -> [1 3 3]; 1 -> [2 3]; 2 -> [1 1]; 3 -> [2];],[1 1 2 1 1 2 2 3 2 3 1 1 2 1 1 2 2 3 2 3 2 3 2 3 1 1 2 3 2 3 1 1 1 1 2 1 1 2 2 3 2 3 1 1 2 1 1 2 2 3 2 3 1 1 2 1 1 2 2 3 2 3 1 1 2 1 1 2 2 3 2 3],SAT,0.247,[0 -> [1 3 3]; 1 -> [2 3]; 2 -> [1 1]; 3 -> [2];],363861,SAT,0.075991,[0 -> [1 3 3]; 1 -> [2 3]; 2 -> [1 1]; 3 -> [2];],15807
3,6,4,[0 -> [3]; 1 -> [1]; 2 -> [2]; 3 -> [2 3 2 2 1];],[2 2 2 2 2 2 3 2 2 1 2 2 1 2 2 1 2 2 1 2 2 1 2 2 1],SAT,1.00398,[0 -> [3]; 1 -> [1]; 2 -> [2]; 3 -> [2 3 2 2 1];],1375953,SAT,0.099001,[0 -> [3]; 1 -> [1]; 2 -> [2]; 3 -> [2 3 2 2 1];],17737
3,6,4,[0 -> [1 2]; 1 -> [1 3]; 2 -> [2 3]; 3 -> [1 3];],[1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 2 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3],SAT,0.172515,[0 -> [1 2]; 1 -> [1 3]; 2 -> [2 3]; 3 -> [1 3];],217449,SAT,0.048055,[0 -> [1 2]; 1 -> [1 3]; 2 -> [2 3]; 3 -> [1 3];],9592
3,6,4,[0 -> [3]; 1 -> [2]; 2 -> [2 2 1 2 2]; 3 -> [2];],[2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 1 2 2],SAT,0.311856,[0 -> [1]; 1 -> [2]; 2 -> [2 2 1 2 2]; 3 -> [1];],414573,SAT,0.037998,[0 -> [1]; 1 -> [2]; 2 -> [2 2 1 2 2]; 3 -> [1];],7253
